geneid,1,2,3,1-3ave,4,5,6,4-6ave,8,9,8-9ave,10,11,12,10-12ave,13,log2(4-6ave/1-3ave),log2(10-12ave/8-9ave)
CANX,660.431644,643.5293458,668.1685143,657.3765013,648.6040248,538.5432839,636.5494048,607.8989045,220.8176628,230.7129214,225.7652921,263.4987512,265.4301527,262.9763867,263.9684302,460.2516002,-0.112888468,0.225541686
CASD1,7.851971014,6.368305801,7.255102989,7.158459935,6.481278186,5.799456502,6.762357833,6.347697507,3.46901873,2.468032412,2.968525571,2.976172581,3.133067817,3.13739501,3.082211803,7.722352676,-0.173415835,0.054219445
CCDC115,16.44047049,17.8348368,19.95588021,18.0770625,18.25718065,19.14657447,18.05836306,18.48737273,28.22567409,27.78230645,28.00399027,27.7278944,25.59300266,27.40627681,26.90905796,20.64680695,0.032379953,-0.057540523
CD109,165.1471414,166.4621404,173.4736258,168.3609692,150.3956463,82.16542181,150.1170231,127.5593638,107.3908696,108.8337185,108.112294,105.8791459,97.9181381,106.6659931,103.487759,187.2312172,-0.40038891,-0.063070459
CD14,3.470327587,3.274190798,2.678040127,3.140852837,2.97106313,2.280261207,2.3451889,2.532171079,3.96002221,3.448833204,3.704427707,3.164387469,4.378154948,2.761701906,3.434748108,2.75286489,-0.310781358,-0.109046348
CD160,0,0,0,0,0,0,0,0,0,0.031500007,0.015750003,0,0,0.032791298,0.010930433,0,0,-0.526961243
CD177,0.384848286,0.696402078,0.692401944,0.591217436,0.722733495,0.975955838,0.676192364,0.791627232,0.102974009,0.150043815,0.126508912,0.13635768,0.183419971,0.364454104,0.228077252,0.581260652,0.421131807,0.85027846
CD1D,0,0.140556155,0.064051534,0.068202563,0.080228871,0.051589744,0,0.043939538,3.257804212,2.942559232,3.100181722,0.98388754,1.900360067,1.329306539,1.404518049,0,-0.63429456,-1.142277058
CD207,0.10299685,0,0.077211399,0.060069416,0,0,0,0,0.13779454,0.066926981,0.102360761,0,0,0.069670543,0.023223514,0,-15.87436704,-2.139956536
CD209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047060079,0,0
CD22,0.375063054,0.616995651,0.445178438,0.479079048,1.115232115,0.905848556,0.88711452,0.969398397,0.125444713,0.081238206,0.103341459,0.138427731,0.173790844,0.190278974,0.167499183,0.809259142,1.016824455,0.696729548
CD24,0,0.102251539,0.093192189,0.06514791,0,0.037530414,0.168019384,0.068516599,541.6863116,568.8064465,555.246379,373.5699607,370.551476,380.5518664,374.891101,0.067057193,0.072733571,-0.566656498
CD248,1299.79641,1354.526123,1322.241348,1325.521294,1017.757462,1028.773166,1041.373187,1029.301271,0.251698589,0.440101152,0.34589987,0.199978826,0.41844324,0.305428252,0.307950106,1009.721656,-0.364894532,-0.167657334
CD302,18.80133566,18.45640287,20.64579761,19.30117872,14.41609456,13.2917715,14.65297045,14.12027884,0.063199508,0.03069608,0.046947794,0,0,0,0,20.5892406,-0.450920349,-15.51880049
CD33,18.81517151,19.82187592,18.79024364,19.14243036,21.81168563,21.32049128,21.40209116,21.51142269,0.021551297,0.020934984,0.02124314,0.028538122,0.025591818,0.021793179,0.025307707,26.03337563,0.168328926,0.25256882
